# # You can open and plot this file using Python
# # (without manually removing this header, it will be skipped), see example below.
# import numpy as np
# from matplotlib import pyplot as plt
# data = np.genfromtxt('scattnlay-spectra.txt', skip_header=21, names=True, delimiter=', ')
# x = data[data.dtype.names[0]] # x-axis has units
# # Possible labels for spectrum data: Qsca, Qabs, Qext,
# # Qsca_E_dipole, etc. (see last comment before spectra data)
# a = data['Qsca']
# b = data['Qsca_E_dipole']
# c = data['Qsca_H_dipole']
# 
# plt.figure()
# plt.plot(x, a, label='Qsca')
# plt.plot(x, b, label='Qsca E dipole')
# plt.plot(x, c, label='Qsca H dipole')
# plt.legend()
# plt.xlabel(data.dtype.names[0].replace('_', ', '))
# plt.ylabel('Normalized cross-sections')
# plt.show()

# Wavelength [nm], Qsca, Qabs, Qext, Qsca_E_dipole, Qabs_E_dipole, Qext_E_dipole, Qsca_H_dipole, Qabs_H_dipole, Qext_H_dipole, Qsca_E_quadrupole, Qabs_E_quadrupole, Qext_E_quadrupole, Qsca_H_quadrupole, Qabs_H_quadrupole, Qext_H_quadrupole, Qsca_E_octupole, Qabs_E_octupole, Qext_E_octupole, Qsca_H_octupole, Qabs_H_octupole, Qext_H_octupole, Qsca_E_16, Qabs_E_16, Qext_E_16, Qsca_H_16, Qabs_H_16, Qext_H_16
120, 1.643329969858603, 4.440892098500626e-16, 1.6433299698586035, 0.5604352558676604, 0, 0.5604352558676604, 0.8543280034877347, 2.220446049250313e-16, 0.854328003487735, 0.1936110096452871, 8.326672684688674e-17, 0.19361100964528719, 0.030945549149199107, 0, 0.030945549149199107, 0.0038281251207214297, 4.7704895589362195e-18, 0.0038281251207214345, 0.00015929364724216903, 8.402566836762659e-19, 0.00015929364724216987, 0.000022291207725671673, 3.3881317890172014e-20, 0.000022291207725671707, 3.8711678743652206e-7, 5.135137242729196e-21, 3.871167874365272e-7
132.2, 1.291239326079008, 0, 1.291239326079008, 0.5731992823629942, 0, 0.5731992823629942, 0.6025121081254915, 0, 0.6025121081254915, 0.10482869886300872, -1.3877787807814457e-17, 0.1048286988630087, 0.009335204601137218, 0, 0.009335204601137218, 0.0013229464515018253, 1.5178830414797062e-18, 0.0013229464515018268, 0.00003573099092504599, 2.168404344971009e-19, 0.000035730990925046206, 0.000005285729341199446, -1.3552527156068805e-20, 0.000005285729341199433, 6.024431793254982e-8, -1.2440796412797536e-21, 6.024431793254858e-8
144.4, 0.9740333780433986, -4.440892098500626e-16, 0.9740333780433982, 0.5660082103475305, -2.220446049250313e-16, 0.5660082103475302, 0.3472178155392229, -1.1102230246251565e-16, 0.34721781553922276, 0.057094310249734874, -4.163336342344337e-17, 0.05709431024973483, 0.0032052944367882987, -8.673617379884035e-18, 0.00320529443678829, 0.0004971926683451881, -4.0115480381963664e-18, 0.0004971926683451841, 0.00000913949040190944, -4.861969117239684e-19, 0.000009139490401908953, 0.0000014027550965419115, 1.1011428314305904e-20, 0.0000014027550965419225, 1.0945790083686058e-8, 4.896909226313924e-22, 1.0945790083686548e-8
156.6, 0.756786284533325, -1.1102230246251565e-16, 0.7567862845333249, 0.5370080548654519, -1.1102230246251565e-16, 0.5370080548654518, 0.18645570632814298, 0, 0.18645570632814298, 0.03190272681988389, 6.938893903907228e-18, 0.031902726819883896, 0.001216109411373464, 1.734723475976807e-18, 0.0012161094113734658, 0.00020067104171270719, -7.860465750519907e-19, 0.0002006710417127064, 0.000002603403523380515, -9.063252535621014e-20, 0.000002603403523380424, 4.100581748861574e-7, 1.0058516248644817e-21, 4.100581748861584e-7, 2.2671206539782864e-9, 1.8611563782443123e-23, 2.267120653978305e-9
168.8, 0.6111045691563689, 2.220446049250313e-16, 0.6111045691563691, 0.4914317071396398, 5.551115123125783e-17, 0.49143170713963985, 0.10069482430692625, -1.3877787807814457e-17, 0.10069482430692624, 0.01839143682200165, 1.0408340855860843e-17, 0.018391436822001662, 0.000499529368169289, 9.75781955236954e-19, 0.0004995293681692899, 0.00008612842804303153, -5.963111948670274e-19, 0.00008612842804303094, 8.121164408727384e-7, -5.749236129488564e-20, 8.121164408726809e-7, 1.3037056785278683e-7, -1.852884572118782e-22, 1.3037056785278664e-7, 5.254653990599812e-10, -3.567216391634932e-23, 5.254653990599456e-10
181, 0.5042916511387295, -2.220446049250313e-16, 0.5042916511387293, 0.43691697679184616, -1.1102230246251565e-16, 0.43691697679184605, 0.05617758851063835, -1.3877787807814457e-17, 0.05617758851063834, 0.0109387317483357, 1.0408340855860843e-17, 0.010938731748335711, 0.00021903147820259003, 1.2197274440461925e-18, 0.00021903147820259125, 0.00003900390555421036, -6.776263578034403e-20, 0.00003900390555421029, 2.7393434581115496e-7, -2.4881592825595072e-21, 2.739343458111525e-7, 4.46151461029162e-8, -2.514629062161204e-22, 4.4615146102915945e-8, 1.3428270082965953e-10, -1.4475660719677984e-23, 1.3428270082964505e-10
193.2, 0.41970272944270354, 0, 0.41970272944270354, 0.380330143921167, 0, 0.380330143921167, 0.0325529579167443, 0, 0.0325529579167443, 0.00669950968565893, -5.204170427930421e-18, 0.006699509685658925, 0.00010148410258074699, -5.285485590866834e-19, 0.00010148410258074646, 0.000018518558903060342, 9.147955830346444e-20, 0.000018518558903060434, 9.89207616167925e-8, 7.093900933254765e-21, 9.89207616167996e-8, 1.6293797106607807e-8, -3.1763735522036263e-22, 1.629379710660749e-8, 3.738196685509104e-11, -1.3661404804196098e-23, 3.738196685507738e-11
205.39999999999998, 0.3502440984832275, 1.6653345369377348e-16, 0.3502440984832277, 0.3264126702159024, 2.220446049250313e-16, 0.32641267021590264, 0.019558134904217976, 1.734723475976807e-17, 0.019558134904217993, 0.004214771160243892, 1.734723475976807e-18, 0.004214771160243894, 0.00004930814840996012, 2.168404344971009e-19, 0.000049308148409960336, 0.00000916980298166802, 7.623296525288703e-20, 0.000009169802981668096, 3.793373683486873e-8, 4.989553454919863e-21, 3.793373683487372e-8, 6.304787971077232e-9, -2.7296960214249913e-23, 6.304787971077205e-9, 1.122382458994363e-11, -2.2779778587886114e-25, 1.1223824589943402e-11
217.6, 0.29263641291185405, 0, 0.29263641291185405, 0.2777501328626763, 0, 0.2777501328626763, 0.012139557428967846, -6.938893903907228e-18, 0.01213955742896784, 0.0027170163938668836, 1.0842021724855044e-17, 0.0027170163938668944, 0.000024973651668654196, 9.723938234479368e-19, 0.000024973651668655168, 0.000004714656835835832, -1.5246593050577406e-20, 0.000004714656835835817, 1.5344595628709804e-8, -3.5403330217269584e-22, 1.534459562870945e-8, 2.5690828466933195e-9, -5.66618719598824e-23, 2.569082846693263e-9, 3.604428858072178e-12, -2.013425465613693e-24, 3.6044288580701647e-12
229.8, 0.24488300899558965, 2.220446049250313e-16, 0.24488300899558987, 0.23532150781497324, 2.220446049250313e-16, 0.23532150781497346, 0.007755203549963607, 2.688821387764051e-17, 0.007755203549963634, 0.0017906601221187798, 1.1492543028346347e-17, 0.0017906601221187913, 0.000013122348622645259, 1.0232158002831948e-18, 0.000013122348622646282, 0.000002507550921171228, -3.3881317890172014e-21, 0.0000025075509211712244, 6.510878648306387e-9, 2.514629062161204e-22, 6.510878648306639e-9, 1.0966919116996542e-9, 7.444625512977249e-24, 1.0966919116996617e-9, 1.229395480732165e-12, 4.152058934104065e-25, 1.2293954807325802e-12
